fold,level,nominal,coverage,mean_width
backtest_2,department,0.8,0.7436224489795918,166.95258288761698
backtest_2,department,0.95,0.9094387755102041,280.3900592773389
backtest_2,category,0.8,0.7470238095238095,322.0941529198023
backtest_2,category,0.95,0.8809523809523809,483.46452274349457
backtest_2,store,0.8,0.7589285714285714,750.3809860508115
backtest_2,store,0.95,0.9107142857142857,1271.3404391357478
backtest_2,state,0.8,0.75,2183.7202845024
backtest_2,state,0.95,0.8214285714285714,3705.195540979386
backtest_2,total,0.8,0.75,2183.7202845024
backtest_2,total,0.95,0.8214285714285714,3705.195540979386
backtest_2,item,0.8,0.7923470224429555,3.226843917418201
backtest_2,item,0.95,0.9458458276718362,7.4516183820968935
backtest_3,department,0.8,0.7959183673469388,190.26376512277108
backtest_3,department,0.95,0.9783163265306123,336.7009628311459
backtest_3,category,0.8,0.8095238095238095,363.772381492726
backtest_3,category,0.95,0.9761904761904762,651.5504324975578
backtest_3,store,0.8,0.7053571428571429,830.4308177360534
backtest_3,store,0.95,0.9553571428571429,1546.5521343414566
backtest_3,state,0.8,0.8928571428571429,2242.9508483973173
backtest_3,state,0.95,1.0,6039.007085660094
backtest_3,total,0.8,0.8928571428571429,2242.9508483973173
backtest_3,total,0.95,1.0,6039.007085660094
backtest_3,item,0.8,0.8074866466757251,3.318954444742109
backtest_3,item,0.95,0.9569589560980181,7.676711079798423
holdout,department,0.8,0.7665816326530612,182.06011902150055
holdout,department,0.95,0.9375,302.0836676350923
holdout,category,0.8,0.7886904761904762,346.33969856386744
holdout,category,0.95,0.9583333333333334,584.9682766847387
holdout,store,0.8,0.75,787.7475385463591
holdout,store,0.95,0.9107142857142857,1265.1169201325981
holdout,state,0.8,0.7142857142857143,1852.7882884915634
holdout,state,0.95,0.9642857142857143,4028.4797087403826
holdout,total,0.8,0.7142857142857143,1852.7882884915634
holdout,total,0.95,0.9642857142857143,4028.4797087403826
holdout,item,0.8,0.8127664808133814,3.346576946736121
holdout,item,0.95,0.9549120320479783,7.561531888150023
